auroc,auprc,acc,f1_macro,ece,brier,nll,hce,hce_coverage,hce_count,hce_err,intercept,slope,n,bin_counts,setting,method,row,train_seed,scaled
0.7315672153635115,0.6651218940252248,0.6712962962962963,0.7198040098501395,0.1371360170218708,0.23431038304782315,0.6590730392269918,,0.0,0,0,-0.19936626345671563,1.4583451432175032,216,[  0   3  17   9  40 144   2   1   0   0],rare,EviDDIE,EviDDIE + TempScale,20240520,True
0.70670438957476,0.6529927852728361,0.6157407407407407,0.7029781309717349,0.08647906494931913,0.23359575732889296,0.6583739131348977,,0.0,0,0,-0.04464263877586168,0.6780979508055328,216,[  0   4   7   5  17 162  20   1   0   0],rare,EviDDIE,EviDDIE + TempScale,20240910,True
0.7211076817558298,0.666082019947025,0.6759259259259259,0.6228216355802563,0.10086356722222224,0.21474756455974775,0.6106350259737949,0.0967741935483871,0.14351851851851852,31,3,0.1536853712010112,0.7355520042899757,216,[28 18 19 17 22 43 45 19  2  3],rare,Softmax baseline,Softmax baseline,19940419,False
0.754286694101509,0.6968065911745491,0.7175925925925926,0.6998766221464432,0.12287879282407406,0.20677441317999126,0.6016686270272642,0.0,0.009259259259259259,2,0,0.13422552336987534,0.2628171144124145,216,[ 2 12 19 28 30 91 32  1  1  0],rare,Softmax baseline,Softmax baseline,20230801,False
0.7270233196159123,0.7139297219685106,0.6527777777777778,0.5680360858531773,0.11251172138888892,0.21694017948948302,0.6297833456136772,0.05555555555555555,0.08333333333333333,18,1,0.1109842323122313,0.8513043583132549,216,[18 18 29 25 19 40 36 16 15  0],rare,Softmax baseline,Softmax baseline,20240115,False
0.7543724279835392,0.7237006001791718,0.6805555555555556,0.6457241796435345,0.0925345447685185,0.2008798364548055,0.5900280532179331,0.20833333333333334,0.1111111111111111,24,5,0.011474929211479634,1.0276490299522507,216,[24 21 10 22 28 50 35 20  6  0],rare,Softmax baseline,Softmax baseline,20240520,False
0.6566358024691358,0.6194374286771092,0.6296296296296297,0.6167371399956539,0.06284348388888884,0.23357188625556327,0.6591694933211748,0.0,0.018518518518518517,4,0,0.12093795874596963,0.6035516114306699,216,[ 4  9 27 31 31 56 48  7  3  0],rare,Softmax baseline,Softmax baseline,20240910,False
0.7211076817558298,0.666082019947025,0.6759259259259259,0.6228216355802563,0.12724491113437386,0.22767081672163852,0.6473011954803715,,0.0,0,0,-0.8863389607494963,2.9330184353536213,216,[  0   0   4  24  76 109   3   0   0   0],rare,Softmax baseline,Softmax baseline + TempScale,19940419,True
0.754286694101509,0.6968065911745491,0.7175925925925926,0.6998766221464432,0.14692020247658372,0.2146567653067523,0.619784425143048,,0.0,0,0,0.047708043048739004,0.5566196782981395,216,[  0   2  19  25  45 102  22   0   1   0],rare,Softmax baseline,Softmax baseline + TempScale,20230801,True
0.7270233196159123,0.7139297219685106,0.6527777777777778,0.5680360858531773,0.08720756968336105,0.2254682206710545,0.6423671829906299,,0.0,0,0,-0.28492047564289624,1.6091467774116814,216,[ 0  2  8 21 78 96 11  0  0  0],rare,Softmax baseline,Softmax baseline + TempScale,20240115,True
0.7543724279835392,0.7237006001791718,0.6805555555555556,0.6457241796435345,0.11916392226527413,0.22096728112230718,0.6328311928239644,0.0,0.004629629629629629,1,0,-0.2740907449787623,1.585222094999363,216,[  1   0  12  26  66 107   4   0   0   0],rare,Softmax baseline,Softmax baseline + TempScale,20240520,True
